# D_real	D_model
1643.5237	1533.7751
1494.2506	1290.8900
2362.7456	2569.4091
1541.2774	1633.2183
1445.1491	1453.6905
1232.4841	1280.1340
1373.4773	1431.1038
1636.8491	1400.3089
1285.0735	1507.6259
1294.5250	1448.8261
1524.1394	1556.0517
1916.2390	2132.7482
1392.5136	1439.5781
1534.6384	1466.6097
1247.9800	1332.0146
2150.3109	2424.7614
1592.1507	1632.9734
1392.3954	1474.9305
1181.4766	1312.9029
855.3876	898.5538
1444.2212	1644.8480
2195.9542	2621.6390
1690.6892	1604.7099
1221.6558	1171.2340
1960.9691	1800.9278
1548.5387	1525.7179
1252.5454	1405.0406
1489.4375	1718.6614
1867.5192	1661.2218
1061.3746	957.9494
1171.9697	1050.1014
1098.2591	1024.2124
1964.1897	1778.6576
1104.8597	1097.4958
1262.8642	1259.7182
2225.9376	2040.2127
2151.1181	1921.0882
850.9859	833.8147
796.8105	773.8230
1181.7652	1074.3575
1283.5533	1319.6890
1338.6235	1220.0025
2012.2326	1763.7072
1140.5415	1056.8330
1245.6573	1123.3641
1282.5907	1266.5181
2677.3795	2459.9758
1276.5034	1433.3245
1233.9781	1312.9452
2066.1585	1856.6357
1264.9945	1184.0832
1566.9726	1648.8957
1460.4256	1373.1406
1848.0841	1692.5711
1295.2475	1235.9361
873.5794	918.4672
1046.1611	954.6492
1941.2741	1702.4297
1490.4764	1611.5766
969.6190	933.1265
1503.6373	1302.7245
1165.9138	1128.9956
1160.4335	1056.9219
1852.0877	1722.7228
1124.5866	1046.8758
1336.2260	1248.3625
1234.7020	1189.9311
1302.8488	1157.6144
1976.0504	1855.2590
1435.5992	1335.1974
1120.4004	1042.7200
683.9020	658.1778
1433.2798	1368.3114
994.8950	894.8687
1928.4517	1833.7459
1645.4361	1662.4178
1355.9948	1165.7097
1365.6522	1222.6668
1525.2006	1455.0687
1548.4373	1484.6993
1430.6775	1460.9230
1407.2263	1425.6434
1824.3404	1947.4573
1293.0433	1235.1389
1259.5360	1211.9282
2161.6457	2196.6468
1441.7271	1246.6487
1536.9102	1342.5040
1266.3041	1389.5298
1231.1316	1290.3317
1561.2834	1418.7773
1701.7094	1592.1105
1332.7156	1325.3535
1388.2219	1268.0544
1253.5773	1207.0149
1714.1806	1629.2701
1237.7221	1127.6795
1208.6426	1189.2540
986.3189	1002.5657
1776.7414	1719.5770
1153.2524	1088.8958
1217.7270	1339.8395
2775.9472	2664.7073
1415.9544	1325.4867
772.8933	739.3416
1203.1484	1152.1853
1038.1720	1155.3593
1201.9193	1116.8805
1320.0826	1229.5906
1291.1987	1256.3224
1381.3515	1302.9977
1294.6571	1188.9685
763.6766	796.5833
1975.3995	1734.4527
1050.6446	907.6536
1009.0248	929.2545
1697.7933	1513.0790
1311.2483	1170.4696
1124.1108	1017.5662
1244.6477	1156.4186
1202.6171	1207.4179
1121.5164	1033.5502
1045.7323	1002.0140
1093.2580	999.7930
1908.6647	1656.8585
967.4988	880.8212
947.7336	950.7786
1380.5216	1422.7807
1665.8763	1507.6820
1322.8458	1162.4853
2392.5359	2130.3582
1636.6857	1545.8787
1140.6086	992.5281
1442.9040	1221.1220
1197.0150	1065.8766
1143.7307	1042.8054
1227.8607	1076.2825
1444.2223	1337.9342
1755.2504	1648.9230
2451.7371	2069.3439
2863.3119	2811.3659
1846.6811	1803.8816
2665.3838	2432.2810
2275.0262	1980.2096
2937.9462	2839.9319
2239.0985	1908.8080
2043.0764	1827.2799
2139.3384	1902.0655
893.3728	881.8220
2287.8656	2175.3354
1381.3711	1351.5332
1678.6188	1724.3335
2305.7014	2222.2675
2384.2345	2107.0574
1746.1962	1704.3028
2353.8872	2158.0185
1982.1859	1926.4524
2132.7517	1982.8633
2240.3864	2011.0219
2586.7704	2344.7529
2049.3711	1856.6925
2048.3613	1975.6925
2161.7118	1922.4630
2365.2338	2345.8826
2418.6004	2157.8543
2317.9875	2113.2134
931.9227	1029.6451
1901.1163	1959.6158
2362.2832	2291.8506
1761.4046	2014.6367
1053.4182	1032.3415
1921.0455	2051.2667
1395.1280	1448.9627
1744.2852	2113.7975
2880.6300	2849.2552
2232.9942	2032.3331
1583.7493	1577.2745
1821.9372	1914.7561
1147.6106	1145.2537
1463.8634	1563.7298
2181.1664	2343.4342
1144.6414	1170.0244
1198.0659	1094.7100
1483.5343	1588.9081
1123.9066	971.4757
741.6394	693.6541
2019.4398	1923.1869
1046.0153	1021.5131
1164.8060	1090.9560
2070.7074	2001.0642
913.0274	881.1260
892.3486	944.1875
1433.1622	1437.0035
976.1035	912.3886
1070.5064	978.5964
1804.3096	1805.7492
1591.3966	1835.1932
1460.2171	1621.2073
1005.9627	1022.0626
1328.0523	1380.3706
2447.8435	2265.1369
897.2374	860.2831
2840.7112	2812.9913
1732.5224	1698.0677
1488.7720	1459.5417
2740.7120	2703.6488
1995.8269	1843.8232
1216.2812	1139.3696
2480.2665	2356.5670
1535.3283	1780.5870
1405.0260	1516.0089
1534.7150	1547.3070
2423.3436	2316.8278
990.9082	935.5816
889.0984	805.6488
1204.4825	1144.1084
1239.2207	1298.7063
1389.9532	1189.8075
1065.1596	1106.2581
1057.9291	965.5511
1987.1394	1764.2463
1776.6117	1624.0314
906.6852	801.9083
1243.4798	1345.3468
1353.0950	1133.5991
2030.0884	1847.8745
1769.7709	1586.5989
1834.1221	1613.8061
1283.2194	1124.8431
1972.4097	1778.6543
1298.5091	1126.1008
1217.8974	1109.5567
1851.8718	1622.5776
924.7951	941.9140
2768.3156	2576.1997
1705.1372	1521.7904
1883.3173	1710.4558
1230.9326	1215.6603
1701.4097	1522.0062
1122.2139	1115.8369
987.9757	1013.4525
1658.4764	1676.2360
1482.3198	1439.0768
1363.7925	1415.1724
1795.1448	1807.9405
842.0701	795.8499
2337.1470	2372.2985
865.5016	821.4572
1374.6756	1398.0547
1320.2254	1232.3137
1496.5253	1477.4099
1188.0648	1258.2464
1366.6203	1402.5737
1132.5281	1057.8899
1159.2316	1297.8178
977.4155	991.4938
1685.3270	1634.9844
1947.7071	2003.3113
1660.9491	1686.8453
1581.2985	1722.3510
1529.3299	1581.9807
1032.5110	1033.2957
1336.8313	1532.8310
1445.4757	1580.1465
1427.7811	1702.2726
1171.1332	1187.3075
1739.4669	1611.9463
2415.7262	2671.5666
1209.5297	1142.8473
1153.8132	1152.5585
1810.8487	1751.6515
1311.4450	1532.2239
1831.9653	1958.7892
1462.3973	1427.8781
1785.2272	1780.4980
1835.9145	1840.7422
1932.5118	2127.2517
1571.7948	1634.4421
1594.7131	1615.0724
1570.7209	1653.4295
1722.2125	1757.6897
1352.6382	1409.7124
1758.6188	1831.8341
1864.7078	1764.0981
1542.9514	1461.8334
1665.4867	1716.9281
1609.6872	1586.5875
1434.6003	1498.2864
1585.2949	1739.4580
1528.1450	1419.9553
1954.7609	1966.6744
1602.8244	1690.1577
1575.4053	1684.1324
1001.0774	953.3079
1299.9200	1395.5443
1406.1575	1469.1096
1825.4509	2114.0518
1477.7984	1580.0361
1220.7113	1266.7952
1611.4289	1619.1387
1695.3339	1807.3716
1449.8334	1567.2929
1807.0578	1922.7644
1452.0458	1475.2041
1838.8157	1829.6904
1455.6136	1485.2202
1888.6720	1899.1709
1388.8841	1608.5549
1753.8535	1778.5874
1502.4743	1702.1105
1435.2693	1513.9875
1405.7919	1370.2274
1787.8431	1689.4256
2398.6734	2591.0220
1598.7401	1603.4135
1544.1914	1535.2879
1688.4481	1742.9974
1345.7489	1364.3610
2037.0670	1930.0028
1996.7058	1787.1298
1656.9155	1620.1404
1501.3068	1539.1215
1868.1453	1773.3646
2165.5858	2055.9095
913.6115	868.5989
1613.0852	1581.7873
1526.0383	1710.8241
1909.9186	1808.2190
1478.2919	1541.4516
2225.4959	2090.9718
1331.4732	1298.9600
2006.8174	1835.8595
1838.9195	1711.4745
2176.1257	2308.3877
2238.1982	2014.2641
2072.5200	2060.0444
2104.8967	1961.1377
1464.1513	1323.6140
1116.3490	1114.6111
1309.2089	1321.5135
952.1686	898.3930
1439.9038	1376.4589
1319.2570	1231.2782
1024.8956	960.0682
1207.6084	1282.8390
931.5203	927.5845
863.4761	852.9707
938.8951	1064.2824
1729.2929	2045.4315
1699.3496	1603.4394
1208.2347	1180.8599
1653.1706	1602.0599
1462.1884	1428.2213
1345.1699	1249.1845
1239.7560	1227.7752
1928.8336	1858.9379
1439.2554	1386.2604
1523.9875	1378.2188
954.5193	955.8175
2214.1721	2081.1583
1438.1791	1398.1498
1204.2421	1177.5538
1569.0347	1424.4041
1030.5921	969.3751
1245.7014	1112.8913
1739.4105	1829.3652
1622.7289	1606.4822
594.9866	586.9779
1014.1312	1121.4504
2213.7423	2297.3496
1987.1032	1784.6095
1460.0089	1442.9033
1206.2981	1137.5953
2505.8885	2449.9955
1195.8754	1070.8590
1248.5472	1284.9981
1318.8696	1200.7552
1379.3219	1278.2394
1214.1017	1121.8293
1117.6923	1074.4496
2320.5461	2241.7261
1218.2565	1158.0609
1208.1420	1193.2636
2288.2069	2080.9438
1405.7482	1469.1464
1979.0808	1815.9433
2213.1595	1944.7511
1940.0701	1766.8336
2224.1650	2021.9011
2239.5544	2269.0762
1464.9119	1544.6909
1562.4529	1639.8512
2204.2727	2203.4080
2972.5967	2985.5266
1861.7900	1774.8839
1843.2577	1738.8462
2287.3657	2135.6275
1768.7665	1619.2835
